txn_id,customer_id,txn_date,amount,category
1,611,2024-01-27,5158,Online
2,574,2024-01-28,4025,POS
3,286,2024-03-22,17800,POS
4,534,2024-03-20,15000,POS
5,459,2024-02-21,10199,Online
6,212,2024-01-16,21054,Online
7,126,2024-03-17,13164,Online
8,413,2024-02-27,6972,Online
9,499,2024-01-09,9681,ATM
10,425,2024-01-26,15937,Online
11,554,2024-01-28,24301,Online
12,610,2024-03-17,17446,POS
13,543,2024-02-05,22801,Online
14,158,2024-01-09,10877,Online
15,112,2024-02-16,22522,POS
16,402,2024-03-18,2555,Online
17,759,2024-02-20,9357,ATM
18,122,2024-03-16,2595,POS
19,273,2024-02-26,724,POS
20,294,2024-02-01,761,POS
21,398,2024-03-07,8367,POS
22,471,2024-02-26,16384,POS
23,207,2024-02-23,24697,POS
24,110,2024-01-16,24000,POS
25,440,2024-03-02,4864,Online
26,278,2024-03-24,1405,POS
27,568,2024-02-25,12239,POS
28,569,2024-01-23,12593,POS
29,482,2024-01-17,2438,POS
30,114,2024-03-20,17744,ATM
31,477,2024-02-07,13187,Online
32,710,2024-03-12,5439,Online
33,321,2024-03-23,12217,POS
34,179,2024-01-30,23558,Online
35,219,2024-02-27,16655,POS
36,789,2024-03-18,17338,POS
37,528,2024-01-22,23882,POS
38,492,2024-01-17,23184,ATM
39,61,2024-01-15,9296,POS
40,54,2024-02-17,15014,Online
41,680,2024-02-01,24736,POS
42,538,2024-03-17,24827,POS
43,65,2024-03-25,13491,Online
44,612,2024-02-09,2821,POS
45,586,2024-02-26,3390,ATM
46,704,2024-02-27,4148,POS
47,171,2024-03-31,1487,POS
48,273,2024-01-16,21942,Online
49,699,2024-01-28,24102,Online
50,535,2024-01-01,23620,POS
51,391,2024-02-10,14790,Online
52,693,2024-02-17,21364,Online
53,327,2024-01-31,15868,POS
54,108,2024-02-05,1972,ATM
55,162,2024-02-02,20486,POS
56,452,2024-02-02,22310,POS
57,206,2024-03-22,6400,Online
58,590,2024-01-23,15962,POS
59,16,2024-02-29,3338,Online
60,327,2024-03-27,7413,POS
61,608,2024-03-19,15141,POS
62,659,2024-03-30,2616,ATM
63,2,2024-01-30,16164,Online
64,10,2024-03-29,23635,Online
65,434,2024-02-14,18168,POS
66,125,2024-03-20,1246,POS
67,81,2024-02-08,15109,Online
68,485,2024-02-14,13778,Online
69,652,2024-03-18,23568,POS
70,150,2024-03-21,18749,POS
